学習地点,Tier_Factor
東京都世田谷区等々力２丁目,1.0
東京都世田谷区等々力３丁目,1.0
東京都世田谷区等々力４丁目,1.0
東京都世田谷区等々力５丁目,1.0
東京都世田谷区等々力６丁目,1.0166666666666666
東京都世田谷区等々力７丁目,1.0083333333333333
東京都世田谷区等々力８丁目,1.0083333333333333
東京都世田谷区粕谷２丁目,1.0166666666666666
東京都世田谷区粕谷４丁目,1.0
東京都世田谷区経堂１丁目,1.125
東京都世田谷区経堂３丁目,1.0
東京都世田谷区経堂５丁目,1.0
東京都世田谷区給田３丁目,1.0083333333333333
東京都世田谷区給田４丁目,1.0
東京都世田谷区給田５丁目,1.0
東京都世田谷区羽根木２丁目,1.0
東京都世田谷区船橋１丁目,1.0
東京都世田谷区船橋３丁目,1.0
東京都世田谷区船橋４丁目,1.0
東京都世田谷区船橋６丁目,1.0
東京都世田谷区若林１丁目,1.0
東京都世田谷区若林３丁目,1.0
東京都世田谷区若林４丁目,1.0
東京都世田谷区若林５丁目,1.0
東京都世田谷区豪徳寺２丁目,1.05
東京都世田谷区赤堤１丁目,1.0
東京都世田谷区赤堤２丁目,1.0
東京都世田谷区赤堤４丁目,1.0
東京都世田谷区野毛３丁目,1.0
東京都世田谷区野沢１丁目,1.0
東京都世田谷区野沢２丁目,1.0
東京都世田谷区野沢３丁目,1.0
東京都世田谷区野沢４丁目,1.0
東京都世田谷区鎌田２丁目,1.0
東京都世田谷区鎌田３丁目,1.0
東京都世田谷区駒沢１丁目,1.0
東京都世田谷区駒沢２丁目,1.0333333333333334
東京都世田谷区駒沢４丁目,1.0
東京都世田谷区駒沢５丁目,1.0
東京都中央区佃１丁目,1.0
東京都中央区佃２丁目,1.0138888888888888
東京都中央区入船１丁目,1.0
東京都中央区入船２丁目,1.0
東京都中央区入船３丁目,1.0
東京都中央区八丁堀３丁目,1.0
東京都中央区八丁堀４丁目,1.0
東京都中央区勝どき１丁目,1.0
東京都中央区勝どき２丁目,1.0
東京都中央区勝どき３丁目,1.0166666666666666
東京都中央区勝どき４丁目,1.042
東京都中央区勝どき５丁目,1.0865384615384617
東京都中央区勝どき６丁目,1.0
東京都中央区新富１丁目,1.0
東京都中央区新富２丁目,1.0
東京都中央区新川１丁目,1.0
東京都中央区新川２丁目,1.0125
東京都中央区日本橋中洲,1.0
東京都中央区日本橋久松町,1.05
東京都中央区日本橋人形町１丁目,1.0
東京都中央区日本橋人形町２丁目,1.0
東京都中央区日本橋人形町３丁目,1.0
東京都中央区日本橋兜町,1.0
東京都中央区日本橋堀留町１丁目,1.0
東京都中央区日本橋堀留町２丁目,1.0
東京都中央区日本橋大伝馬町,1.0
東京都中央区日本橋富沢町,1.0166666666666666
東京都中央区日本橋小伝馬町,1.0
東京都中央区日本橋小網町,1.0
東京都中央区日本橋小舟町,1.05
東京都中央区日本橋本町１丁目,1.0
東京都中央区日本橋本町４丁目,1.0
東京都中央区日本橋横山町,1.0
東京都中央区日本橋浜町１丁目,1.0
東京都中央区日本橋浜町２丁目,1.0
東京都中央区日本橋浜町３丁目,1.0
東京都中央区日本橋箱崎町,1.0
東京都中央区日本橋茅場町２丁目,1.0
東京都中央区日本橋茅場町３丁目,1.0
東京都中央区日本橋蛎殻町１丁目,1.0
東京都中央区日本橋蛎殻町２丁目,1.0
東京都中央区日本橋馬喰町１丁目,1.0
東京都中央区明石町,1.0142857142857142
東京都中央区晴海１丁目,1.0
東京都中央区晴海２丁目,1.0197916666666669
東京都中央区晴海３丁目,1.0
東京都中央区晴海５丁目,1.0
東京都中央区月島１丁目,1.0071428571428571
東京都中央区月島２丁目,1.0125
東京都中央区月島３丁目,1.0
東京都中央区月島４丁目,1.0
東京都中央区東日本橋１丁目,1.0
東京都中央区東日本橋２丁目,1.0
東京都中央区東日本橋３丁目,1.00625
東京都中央区湊１丁目,1.0
東京都中央区湊２丁目,1.008823529411765
東京都中央区湊３丁目,1.0
東京都中央区築地１丁目,1.0
東京都中央区築地２丁目,1.0
東京都中央区築地３丁目,1.0
東京都中央区築地４丁目,1.0
東京都中央区築地６丁目,1.0
東京都中央区築地７丁目,1.0
東京都中央区豊海町,1.0
東京都中央区銀座１丁目,1.0
東京都中央区銀座２丁目,1.025
東京都中央区銀座４丁目,1.0
東京都中央区銀座７丁目,1.0
東京都中央区銀座８丁目,1.0
東京都中野区上高田１丁目,1.0
東京都中野区上高田４丁目,1.0
東京都中野区上鷺宮１丁目,1.05
東京都中野区上鷺宮２丁目,1.0
東京都中野区上鷺宮３丁目,1.0
東京都中野区上鷺宮４丁目,1.0
東京都中野区上鷺宮５丁目,1.0
東京都中野区中央１丁目,1.0029411764705882
東京都中野区中央２丁目,1.0
東京都中野区中央３丁目,1.0
東京都中野区中央４丁目,1.0
東京都中野区中央５丁目,1.015384615384615
東京都中野区中野１丁目,1.0
東京都中野区中野２丁目,1.0
東京都中野区中野３丁目,1.0
東京都中野区中野４丁目,1.0
東京都中野区中野５丁目,1.0
東京都中野区中野６丁目,1.0083333333333333
東京都中野区丸山１丁目,1.0
東京都中野区丸山２丁目,1.0
東京都中野区南台１丁目,1.0
東京都中野区南台２丁目,1.01
東京都中野区南台３丁目,1.0
東京都中野区南台４丁目,1.0
東京都中野区南台５丁目,1.0
東京都中野区大和町１丁目,1.0
東京都中野区大和町２丁目,1.0
東京都中野区大和町３丁目,1.0
東京都中野区弥生町１丁目,1.0
東京都中野区弥生町２丁目,1.0
東京都中野区弥生町３丁目,1.0
東京都中野区弥生町４丁目,1.0
東京都中野区弥生町５丁目,1.0
東京都中野区弥生町６丁目,1.0
東京都中野区新井１丁目,1.0
東京都中野区新井２丁目,1.011111111111111
東京都中野区新井４丁目,1.018181818181818
東京都中野区新井５丁目,1.0
東京都中野区本町１丁目,1.0
東京都中野区本町２丁目,1.0
東京都中野区本町３丁目,1.0
東京都中野区本町４丁目,1.0
東京都中野区本町５丁目,1.0
東京都中野区本町６丁目,1.0
東京都中野区東中野１丁目,1.009090909090909
東京都中野区東中野２丁目,1.015
東京都中野区東中野３丁目,1.0
東京都中野区東中野４丁目,1.0
東京都中野区東中野５丁目,1.0176470588235291
東京都中野区松が丘１丁目,1.0
東京都中野区松が丘２丁目,1.0
東京都中野区江原町１丁目,1.0
東京都中野区江原町２丁目,1.0
東京都中野区江原町３丁目,1.0
東京都中野区江古田１丁目,1.0
東京都中野区江古田２丁目,1.0
東京都中野区江古田３丁目,1.0
東京都中野区江古田４丁目,1.0
東京都中野区沼袋１丁目,1.0
東京都中野区沼袋２丁目,1.0
東京都中野区沼袋４丁目,1.0
東京都中野区白鷺１丁目,1.01
東京都中野区白鷺２丁目,1.0
東京都中野区白鷺３丁目,1.0
東京都中野区若宮１丁目,1.0
東京都中野区若宮２丁目,1.0
東京都中野区若宮３丁目,1.0
東京都中野区野方１丁目,1.0
東京都中野区野方２丁目,1.0
東京都中野区野方３丁目,1.0
東京都中野区野方４丁目,1.0
東京都中野区野方５丁目,1.0
東京都中野区野方６丁目,1.0
東京都中野区鷺宮１丁目,1.0
東京都中野区鷺宮２丁目,1.0
東京都中野区鷺宮３丁目,1.0
東京都中野区鷺宮４丁目,1.0
東京都中野区鷺宮６丁目,1.0
東京都北区上中里１丁目,1.0
東京都北区上中里２丁目,1.0
東京都北区上十条１丁目,1.0
東京都北区上十条２丁目,1.14
東京都北区上十条３丁目,1.0
東京都北区上十条４丁目,1.0
東京都北区上十条５丁目,1.0
東京都北区中十条１丁目,1.0
東京都北区中十条４丁目,1.0
東京都北区中里２丁目,1.0
東京都北区中里３丁目,1.0125
東京都北区十条仲原１丁目,1.0
東京都北区十条仲原２丁目,1.0
東京都北区十条仲原４丁目,1.0
東京都北区十条台１丁目,1.0
東京都北区堀船１丁目,1.0
東京都北区堀船２丁目,1.0
東京都北区堀船３丁目,1.0
東京都北区岩淵町,1.0
東京都北区岸町１丁目,1.0
東京都北区志茂１丁目,1.0
東京都北区志茂２丁目,1.0
東京都北区志茂３丁目,1.0
東京都北区志茂４丁目,1.0
東京都北区志茂５丁目,1.0
東京都北区昭和町１丁目,1.0
東京都北区昭和町２丁目,1.0
東京都北区昭和町３丁目,1.0
東京都北区東十条１丁目,1.0
東京都北区東十条２丁目,1.0
東京都北区東十条３丁目,1.0
東京都北区東十条４丁目,1.0
東京都北区東十条６丁目,1.0
東京都北区東田端１丁目,1.0
東京都北区東田端２丁目,1.0
東京都北区栄町,1.0
東京都北区浮間１丁目,1.0
東京都北区浮間２丁目,1.0
東京都北区浮間３丁目,1.005
東京都北区浮間４丁目,1.0
東京都北区浮間５丁目,1.0
東京都北区滝野川１丁目,1.0
東京都北区滝野川２丁目,1.0
東京都北区滝野川３丁目,1.0
東京都北区滝野川４丁目,1.0
東京都北区滝野川５丁目,1.0
東京都北区滝野川６丁目,1.01
東京都北区滝野川７丁目,1.0041666666666669
東京都北区王子本町１丁目,1.0
東京都北区王子本町２丁目,1.0
東京都北区王子１丁目,1.0
東京都北区王子２丁目,1.0
東京都北区王子３丁目,1.0
東京都北区王子４丁目,1.025
東京都北区王子５丁目,1.0
東京都北区田端新町１丁目,1.0
東京都北区田端新町２丁目,1.0
東京都北区田端新町３丁目,1.0
東京都北区田端１丁目,1.0
東京都北区田端２丁目,1.0
東京都北区田端３丁目,1.0
東京都北区田端５丁目,1.0
東京都北区田端６丁目,1.0
東京都北区神谷１丁目,1.0
東京都北区神谷２丁目,1.05
東京都北区神谷３丁目,1.0
東京都北区西ケ原１丁目,1.009090909090909
東京都北区西ケ原２丁目,1.0
東京都北区西ケ原３丁目,1.0
東京都北区西ケ原４丁目,1.0
東京都北区豊島１丁目,1.0
東京都北区豊島２丁目,1.0
東京都北区豊島３丁目,1.0
東京都北区豊島４丁目,1.0
東京都北区豊島５丁目,1.0
東京都北区豊島７丁目,1.0
東京都北区豊島８丁目,1.0333333333333334
東京都北区赤羽北１丁目,1.0
東京都北区赤羽北２丁目,1.0
東京都北区赤羽北３丁目,1.0
東京都北区赤羽南１丁目,1.0
東京都北区赤羽南２丁目,1.02
東京都北区赤羽台３丁目,1.0
東京都北区赤羽台４丁目,1.0
東京都北区赤羽西１丁目,1.0
東京都北区赤羽西２丁目,1.0
東京都北区赤羽西４丁目,1.0
東京都北区赤羽西６丁目,1.0166666666666666
東京都北区赤羽１丁目,1.0
東京都北区赤羽２丁目,1.0125
東京都千代田区一番町,1.0227272727272727
東京都千代田区三番町,1.0
東京都千代田区九段北４丁目,1.0
東京都千代田区九段南２丁目,1.0
東京都千代田区九段南３丁目,1.0
東京都千代田区九段南４丁目,1.0
東京都千代田区二番町,1.0
東京都千代田区五番町,1.0
東京都千代田区六番町,1.0125
東京都千代田区内神田１丁目,1.0
東京都千代田区内神田３丁目,1.0
東京都千代田区四番町,1.022222222222222
東京都千代田区外神田２丁目,1.0
東京都千代田区外神田３丁目,1.0
東京都千代田区外神田４丁目,1.0
東京都千代田区外神田５丁目,1.0
東京都千代田区外神田６丁目,1.0333333333333334
東京都千代田区富士見１丁目,1.0571428571428572
東京都千代田区富士見２丁目,1.068181818181818
東京都千代田区岩本町１丁目,1.0
東京都千代田区岩本町２丁目,1.0
東京都千代田区岩本町３丁目,1.0
東京都千代田区平河町１丁目,1.0
東京都千代田区平河町２丁目,1.0
東京都千代田区東神田１丁目,1.0
東京都千代田区東神田２丁目,1.0
東京都千代田区東神田３丁目,1.0
東京都千代田区永田町２丁目,1.0
東京都千代田区神田三崎町３丁目,1.0
東京都千代田区神田佐久間町３丁目,1.0
東京都千代田区神田佐久間町４丁目,1.0
東京都千代田区神田司町２丁目,1.0
東京都千代田区神田和泉町,1.0
東京都千代田区神田多町２丁目,1.0
東京都千代田区神田富山町,1.0
東京都千代田区神田小川町１丁目,1.0
東京都千代田区神田小川町３丁目,1.0
東京都千代田区神田東松下町,1.0
東京都千代田区神田淡路町１丁目,1.0
東京都千代田区神田淡路町２丁目,1.0
東京都千代田区神田猿楽町１丁目,1.0
東京都千代田区神田猿楽町２丁目,1.0
東京都千代田区神田神保町１丁目,1.0
東京都千代田区神田神保町２丁目,1.0
東京都千代田区神田神保町３丁目,1.0
東京都千代田区神田練塀町,1.0
東京都千代田区神田美土代町,1.0
東京都千代田区神田錦町１丁目,1.0
東京都千代田区神田錦町２丁目,1.0
東京都千代田区神田錦町３丁目,1.0
東京都千代田区神田鍛冶町３丁目,1.0
東京都千代田区神田須田町１丁目,1.0
東京都千代田区神田須田町２丁目,1.0
東京都千代田区神田駿河台１丁目,1.0
東京都千代田区神田駿河台２丁目,1.0642857142857145
東京都千代田区鍛冶町２丁目,1.0
東京都千代田区隼町,1.0
東京都千代田区飯田橋１丁目,1.0
東京都千代田区飯田橋２丁目,1.0
東京都千代田区飯田橋３丁目,1.0
東京都千代田区飯田橋４丁目,1.05
東京都千代田区麹町１丁目,1.0
東京都千代田区麹町２丁目,1.0
東京都千代田区麹町３丁目,1.0
東京都千代田区麹町４丁目,1.0
東京都千代田区麹町６丁目,1.0
東京都台東区三ノ輪１丁目,1.0
東京都台東区三ノ輪２丁目,1.0
東京都台東区三筋１丁目,1.0
東京都台東区三筋２丁目,1.0
東京都台東区上野桜木１丁目,1.0
東京都台東区上野１丁目,1.0
東京都台東区上野３丁目,1.0
東京都台東区上野４丁目,1.0
東京都台東区上野５丁目,1.0
東京都台東区上野７丁目,1.0
東京都台東区下谷１丁目,1.0
東京都台東区下谷２丁目,1.0
東京都台東区下谷３丁目,1.0
東京都台東区今戸１丁目,1.0
東京都台東区今戸２丁目,1.0
東京都台東区元浅草１丁目,1.025
東京都台東区元浅草３丁目,1.0
東京都台東区元浅草４丁目,1.0
東京都台東区入谷１丁目,1.0
東京都台東区入谷２丁目,1.0
東京都台東区北上野１丁目,1.0
東京都台東区北上野２丁目,1.0
東京都台東区千束１丁目,1.0
東京都台東区千束２丁目,1.025
東京都台東区千束３丁目,1.0
東京都台東区千束４丁目,1.0
東京都台東区台東１丁目,1.0
東京都台東区台東２丁目,1.0055555555555555
東京都台東区台東３丁目,1.0
東京都台東区台東４丁目,1.0
東京都台東区寿１丁目,1.0277777777777777
東京都台東区寿３丁目,1.0071428571428571
東京都台東区小島１丁目,1.0
東京都台東区小島２丁目,1.0
東京都台東区日本堤１丁目,1.0
東京都台東区日本堤２丁目,1.0
東京都台東区東上野２丁目,1.0
東京都台東区東上野３丁目,1.0142857142857142
東京都台東区東上野４丁目,1.0
東京都台東区東上野５丁目,1.0192307692307692
東京都台東区東上野６丁目,1.0
東京都台東区東浅草１丁目,1.0
東京都台東区松が谷１丁目,1.0
東京都台東区松が谷２丁目,1.0
東京都台東区松が谷３丁目,1.02
東京都台東区松が谷４丁目,1.0
東京都台東区柳橋１丁目,1.0
東京都台東区根岸１丁目,1.0
東京都台東区根岸２丁目,1.0
東京都台東区根岸３丁目,1.0
東京都台東区根岸４丁目,1.0
東京都台東区根岸５丁目,1.0
東京都台東区橋場１丁目,1.0
東京都台東区池之端１丁目,1.0
東京都台東区池之端２丁目,1.015
東京都台東区池之端３丁目,1.0
東京都台東区池之端４丁目,1.0
東京都台東区浅草橋１丁目,1.0
東京都台東区浅草橋２丁目,1.0
東京都台東区浅草橋３丁目,1.0
東京都台東区浅草橋４丁目,1.05
東京都台東区浅草橋５丁目,1.0
東京都台東区浅草１丁目,1.0
東京都台東区浅草２丁目,1.0
東京都台東区浅草３丁目,1.0
東京都台東区浅草４丁目,1.0
東京都台東区浅草５丁目,1.0
東京都台東区浅草６丁目,1.0
東京都台東区浅草７丁目,1.0
東京都台東区清川１丁目,1.0
東京都台東区清川２丁目,1.0
東京都台東区竜泉１丁目,1.0
東京都台東区竜泉２丁目,1.0
東京都台東区竜泉３丁目,1.0
東京都台東区花川戸１丁目,1.0
東京都台東区花川戸２丁目,1.0
東京都台東区蔵前１丁目,1.0
東京都台東区蔵前２丁目,1.0
東京都台東区蔵前３丁目,1.0
東京都台東区蔵前４丁目,1.0083333333333333
東京都台東区西浅草１丁目,1.0
東京都台東区西浅草２丁目,1.0
東京都台東区西浅草３丁目,1.0
東京都台東区谷中１丁目,1.0
東京都台東区谷中７丁目,1.0
東京都台東区雷門１丁目,1.0
東京都台東区雷門２丁目,1.0
東京都台東区駒形１丁目,1.0
東京都台東区駒形２丁目,1.0
東京都台東区鳥越１丁目,1.0
東京都台東区鳥越２丁目,1.0
東京都品品川区上大崎３丁目,1.15
東京都品品川区大崎５丁目,1.0
東京都品川区上大崎１丁目,1.0
東京都品川区上大崎２丁目,1.0
東京都品川区上大崎３丁目,1.0818181818181818
東京都品川区上大崎４丁目,1.01
東京都品川区中延２丁目,1.0
東京都品川区中延４丁目,1.0
東京都品川区中延６丁目,1.05
東京都品川区二葉１丁目,1.0
東京都品川区二葉３丁目,1.0
東京都品川区八潮５丁目,1.0
東京都品川区勝島１丁目,1.01875
東京都品川区北品川１丁目,1.0
東京都品川区北品川２丁目,1.0
東京都品川区北品川３丁目,1.0
東京都品川区北品川４丁目,1.0
東京都品川区北品川５丁目,1.0107142857142857
東京都品川区北品川６丁目,1.0
東京都品川区南品川２丁目,1.0
東京都品川区南品川３丁目,1.0
東京都品川区南品川４丁目,1.0
東京都品川区南品川５丁目,1.0
東京都品川区南品川６丁目,1.0
東京都品川区南大井１丁目,1.0
東京都品川区南大井２丁目,1.0
東京都品川区南大井３丁目,1.0
東京都品川区南大井４丁目,1.0
東京都品川区南大井５丁目,1.0
東京都品川区南大井６丁目,1.0
東京都品川区大井１丁目,1.008823529411765
東京都品川区大井２丁目,1.0
東京都品川区大井３丁目,1.0
東京都品川区大井４丁目,1.0
東京都品川区大井５丁目,1.0
東京都品川区大井６丁目,1.0
東京都品川区大崎１丁目,1.0125
東京都品川区大崎２丁目,1.0
東京都品川区大崎３丁目,1.0
東京都品川区大崎４丁目,1.0
東京都品川区大崎５丁目,1.0
東京都品川区小山台１丁目,1.0
東京都品川区小山台２丁目,1.0
東京都品川区小山１丁目,1.0
東京都品川区小山３丁目,1.015384615384615
東京都品川区小山４丁目,1.0
東京都品川区小山５丁目,1.0
東京都品川区小山６丁目,1.0
東京都品川区平塚１丁目,1.0
東京都品川区平塚２丁目,1.0
東京都品川区平塚３丁目,1.0
東京都品川区戸越１丁目,1.0
東京都品川区戸越３丁目,1.0
東京都品川区戸越５丁目,1.0
東京都品川区戸越６丁目,1.0
東京都品川区旗の台２丁目,1.0
東京都品川区旗の台５丁目,1.0
東京都品川区旗の台６丁目,1.0
東京都品川区東中延１丁目,1.0
東京都品川区東五反田１丁目,1.0
東京都品川区東五反田２丁目,1.04
東京都品川区東五反田３丁目,1.0
東京都品川区東五反田４丁目,1.0
東京都品川区東五反田５丁目,1.0
東京都品川区東品川１丁目,1.0
東京都品川区東品川２丁目,1.0
東京都品川区東品川３丁目,1.0
東京都品川区東品川４丁目,1.0847826086956522
東京都品川区東品川５丁目,1.0
東京都品川区東大井１丁目,1.0
東京都品川区東大井２丁目,1.0
東京都品川区東大井３丁目,1.0
東京都品川区東大井４丁目,1.0
東京都品川区東大井５丁目,1.0055555555555555
東京都品川区荏原１丁目,1.0
東京都品川区荏原２丁目,1.0
東京都品川区荏原３丁目,1.0
東京都品川区荏原４丁目,1.0
東京都品川区荏原５丁目,1.0
東京都品川区荏原６丁目,1.0
東京都品川区西中延１丁目,1.0
東京都品川区西中延２丁目,1.0
東京都品川区西五反田１丁目,1.0
東京都品川区西五反田２丁目,1.021875
東京都品川区西五反田３丁目,1.035294117647059
東京都品川区西五反田４丁目,1.0
東京都品川区西五反田５丁目,1.0
東京都品川区西五反田６丁目,1.0125
東京都品川区西五反田７丁目,1.0
東京都品川区西五反田８丁目,1.0
東京都品川区西品川１丁目,1.0
東京都品川区西品川３丁目,1.0
東京都品川区西大井１丁目,1.0
東京都品川区西大井３丁目,1.0
東京都品川区西大井６丁目,1.0
東京都品川区豊町１丁目,1.0
東京都品川区豊町２丁目,1.0
東京都品川区豊町３丁目,1.0
東京都品川区豊町４丁目,1.0
東京都品盤区北品川５丁目,1.0
東京都墨田区両国１丁目,1.0
東京都墨田区両国２丁目,1.0
東京都墨田区両国３丁目,1.0
東京都墨田区亀沢１丁目,1.0
東京都墨田区亀沢２丁目,1.0
東京都墨田区亀沢３丁目,1.0
東京都墨田区亀沢４丁目,1.0
東京都墨田区京島１丁目,1.0055555555555555
東京都墨田区京島２丁目,1.0
東京都墨田区京島３丁目,1.0
東京都墨田区八広２丁目,1.0
東京都墨田区八広３丁目,1.0
東京都墨田区八広４丁目,1.0
東京都墨田区八広５丁目,1.0
東京都墨田区八広６丁目,1.0
東京都墨田区千歳１丁目,1.0
東京都墨田区千歳２丁目,1.0
東京都墨田区千歳３丁目,1.0
東京都墨田区向島１丁目,1.0
東京都墨田区向島２丁目,1.0035714285714286
東京都墨田区向島３丁目,1.0041666666666669
東京都墨田区向島４丁目,1.0
東京都墨田区向島５丁目,1.0
東京都墨田区吾妻橋１丁目,1.0
東京都墨田区吾妻橋２丁目,1.0
東京都墨田区吾妻橋３丁目,1.0
東京都墨田区堤通１丁目,1.0
東京都墨田区堤通２丁目,1.0
東京都墨田区墨田１丁目,1.0
東京都墨田区墨田２丁目,1.0
東京都墨田区墨田３丁目,1.0
東京都墨田区墨田４丁目,1.0
東京都墨田区墨田５丁目,1.0
東京都墨田区太平１丁目,1.0
東京都墨田区太平２丁目,1.0
東京都墨田区太平３丁目,1.025
東京都墨田区太平４丁目,1.0642857142857145
東京都墨田区押上１丁目,1.0
東京都墨田区押上２丁目,1.0
東京都墨田区押上３丁目,1.0
東京都墨田区文花１丁目,1.0
東京都墨田区文花２丁目,1.0
東京都墨田区文花３丁目,1.0
東京都墨田区本所１丁目,1.0
東京都墨田区本所２丁目,1.0
東京都墨田区本所３丁目,1.0
東京都墨田区本所４丁目,1.0
東京都墨田区東向島１丁目,1.0
東京都墨田区東向島２丁目,1.0
